precision,recall,sensitivity,specificity,accuracy,f1,tp,tn,fp,fn,threshold
0.2549019607843137,0.978494623655914,0.978494623655914,0.9119496855345912,0.9139370584457289,0.40444444444444444,91,2755,266,2,0.41000000000000003
0.2577903682719547,0.978494623655914,0.978494623655914,0.9132737504137702,0.9152215799614644,0.4080717488789238,91,2759,262,2,0.42000000000000004
0.2607449856733524,0.978494623655914,0.978494623655914,0.9145978152929494,0.9165061014771998,0.41176470588235287,91,2763,258,2,0.43
0.2622478386167147,0.978494623655914,0.978494623655914,0.9152598477325389,0.9171483622350675,0.41363636363636364,91,2765,256,2,0.44
0.263768115942029,0.978494623655914,0.978494623655914,0.9159218801721284,0.9177906229929351,0.4155251141552511,91,2767,254,2,0.45
0.26608187134502925,0.978494623655914,0.978494623655914,0.9169149288315127,0.9187540141297367,0.41839080459770117,91,2770,251,2,0.46
0.27002967359050445,0.978494623655914,0.978494623655914,0.9185700099304865,0.9203596660244059,0.4232558139534884,91,2775,246,2,0.47000000000000003
0.2732732732732733,0.978494623655914,0.978494623655914,0.9198940748096657,0.9216441875401413,0.42723004694835687,91,2779,242,2,0.48000000000000004
0.2774390243902439,0.978494623655914,0.978494623655914,0.9215491559086395,0.9232498394348105,0.43230403800475065,91,2784,237,2,0.49
0.28,0.978494623655914,0.978494623655914,0.9225422045680238,0.9242132305716121,0.4354066985645933,91,2787,234,2,0.5
0.2852664576802508,0.978494623655914,0.978494623655914,0.9245283018867925,0.9261400128452152,0.44174757281553395,91,2793,228,2,0.51
0.28888888888888886,0.978494623655914,0.978494623655914,0.9258523667659715,0.9274245343609505,0.446078431372549,91,2797,224,2,0.52
0.29260450160771706,0.978494623655914,0.978494623655914,0.9271764316451506,0.928709055876686,0.4504950495049505,91,2801,220,2,0.53
0.297029702970297,0.967741935483871,0.967741935483871,0.929493545183714,0.930635838150289,0.4545454545454545,90,2808,213,3,0.54
0.30303030303030304,0.967741935483871,0.967741935483871,0.9314796425024826,0.9325626204238922,0.46153846153846156,90,2814,207,3,0.55
0.3082191780821918,0.967741935483871,0.967741935483871,0.9331347236014564,0.9341682723185614,0.4675324675324675,90,2819,202,3,0.56
0.31141868512110726,0.967741935483871,0.967741935483871,0.9341277722608408,0.9351316634553629,0.47120418848167545,90,2822,199,3,0.5700000000000001
0.3157894736842105,0.967741935483871,0.967741935483871,0.9354518371400199,0.9364161849710982,0.47619047619047616,90,2826,195,3,0.5800000000000001
0.31802120141342755,0.967741935483871,0.967741935483871,0.9361138695796094,0.9370584457289659,0.4787234042553191,90,2828,193,3,0.59
0.31785714285714284,0.956989247311828,0.956989247311828,0.9367759020191989,0.9373795761078998,0.4772117962466488,89,2830,191,4,0.6
0.3212996389891697,0.956989247311828,0.956989247311828,0.9377689506785832,0.9383429672447013,0.48108108108108105,89,2833,188,4,0.61
0.326007326007326,0.956989247311828,0.956989247311828,0.9390930155577624,0.9396274887604368,0.4863387978142077,89,2837,184,4,0.62
0.3272058823529412,0.956989247311828,0.956989247311828,0.9394240317775571,0.9399486191393706,0.4876712328767124,89,2838,183,4,0.63
0.3333333333333333,0.956989247311828,0.956989247311828,0.9410791128765309,0.9415542710340398,0.49444444444444446,89,2843,178,4,0.64
0.33584905660377357,0.956989247311828,0.956989247311828,0.9417411453161205,0.9421965317919075,0.49720670391061456,89,2845,176,4,0.65
0.34099616858237547,0.956989247311828,0.956989247311828,0.9430652101952995,0.9434810533076429,0.5028248587570622,89,2849,172,4,0.66
0.3449612403100775,0.956989247311828,0.956989247311828,0.9440582588546839,0.9444444444444444,0.5071225071225072,89,2852,169,4,0.67
0.34782608695652173,0.946236559139785,0.946236559139785,0.945382323733863,0.945407835581246,0.5086705202312138,88,2856,165,5,0.68
0.3562753036437247,0.946236559139785,0.946236559139785,0.9473684210526315,0.9473346178548491,0.5176470588235295,88,2862,159,5,0.6900000000000001
